"","OB1","OB3","OB4","YB1","YB3","YB4"
"ENSMUSG00000031351",328,89,291,159,1,13
"ENSMUSG00000031352",2796,2834,2992,2793,2421,2438
"ENSMUSG00000031353",9053,7402,13188,8231,10265,9230
"ENSMUSG00000031354",0,0,4,0,0,0
"ENSMUSG00000031355",469,524,1161,629,632,1113
"ENSMUSG00000031357",4557,3223,6357,4291,4721,4815
"ENSMUSG00000031358",719,1146,2234,1419,1338,1058
"ENSMUSG00000031360",2149,2245,3666,2193,2353,2745
"ENSMUSG00000031362",0,0,0,0,0,0
"ENSMUSG00000031364",0,0,0,0,0,0
"ENSMUSG00000031365",1232,676,1219,912,583,976
"ENSMUSG00000031367",5009,4229,6279,5176,6604,5569
"ENSMUSG00000031370",1971,1550,1729,1281,1573,1287
"ENSMUSG00000031371",702,737,1215,661,1184,946
"ENSMUSG00000031372",0,0,0,0,0,0
"ENSMUSG00000031373",454,369,761,275,647,623
"ENSMUSG00000031374",0,0,0,0,0,0
"ENSMUSG00000031375",2568,2151,3598,1603,1076,1543
"ENSMUSG00000031376",0,0,0,0,0,0
"ENSMUSG00000031377",5540,7219,8385,3278,5681,4085
"ENSMUSG00000031378",2119,2496,3721,1567,2707,2586
"ENSMUSG00000031379",5326,4979,6460,3091,5558,4829
"ENSMUSG00000031380",318,265,429,130,243,288
"ENSMUSG00000031381",250,502,611,441,514,441
"ENSMUSG00000031382",0,31,0,21,141,25
"ENSMUSG00000031383",43,0,0,0,1,0
"ENSMUSG00000031384",0,0,0,0,0,0
"ENSMUSG00000031385",0,0,0,0,0,0
"ENSMUSG00000031386",1075,2330,4513,2002,1850,1823
"ENSMUSG00000031387",578,739,884,838,818,896
"ENSMUSG00000031388",510,417,568,285,605,512
"ENSMUSG00000031389",1,81,106,58,0,1
"ENSMUSG00000031390",0,0,0,0,0,0
"ENSMUSG00000031391",553,1942,1678,320,274,359
"ENSMUSG00000031392",9733,9496,13758,9362,10227,9071
"ENSMUSG00000031393",1909,1188,2159,1829,1639,1102
"ENSMUSG00000031394",0,0,0,0,0,0
"ENSMUSG00000031397",0,0,14,0,0,69
"ENSMUSG00000031398",0,80,335,0,265,0
"ENSMUSG00000031399",2416,1685,2644,1776,2522,2848
"ENSMUSG00000031400",1210,1570,1753,1126,929,1487
"ENSMUSG00000031402",2053,2187,3561,1916,3838,3335
"ENSMUSG00000031403",2102,1240,2268,1618,2942,1446
"ENSMUSG00000031409",0,0,0,0,0,0
"ENSMUSG00000031410",0,0,0,0,0,0
"ENSMUSG00000031411",0,0,0,0,0,0
"ENSMUSG00000031422",5435,4554,6294,5406,4567,4342
"ENSMUSG00000031424",0,0,0,0,0,0
"ENSMUSG00000031425",19,68,16,0,132,7
"ENSMUSG00000031428",75,94,0,1,0,36
"ENSMUSG00000031429",1189,906,1170,753,968,920
"ENSMUSG00000031430",0,0,0,0,0,0
"ENSMUSG00000031431",69996,38371,58803,89588,40837,42617
"ENSMUSG00000031432",1508,1607,1723,1440,1459,1122
"ENSMUSG00000031433",234,254,579,164,235,630
"ENSMUSG00000031434",0,278,78,399,608,336
"ENSMUSG00000031438",0,3,0,0,65,48
"ENSMUSG00000031441",4735,5024,6470,3932,4232,3437
"ENSMUSG00000031442",22554,14883,24331,29884,16640,19225
"ENSMUSG00000031443",54,0,0,8,0,0
"ENSMUSG00000031444",58,28,30,13,37,39
"ENSMUSG00000031445",0,0,0,0,0,0
"ENSMUSG00000031446",5420,6646,8283,6157,5361,6316
"ENSMUSG00000031447",35057,32414,48066,32422,38578,34419
"ENSMUSG00000031448",0,0,0,0,0,0
"ENSMUSG00000031449",0,0,0,0,0,0
"ENSMUSG00000031450",0,0,1,0,0,26
"ENSMUSG00000031451",22861,26673,34618,25048,25036,23181
"ENSMUSG00000031452",0,0,0,0,0,0
"ENSMUSG00000031453",907,824,1304,312,376,1149
"ENSMUSG00000031458",331,147,338,159,236,207
"ENSMUSG00000031461",0,0,0,0,0,0
"ENSMUSG00000031465",6205,2566,3601,4687,1610,2020
"ENSMUSG00000031467",2119,2013,2405,2799,2309,1947
"ENSMUSG00000031471",0,0,0,0,0,0
"ENSMUSG00000031478",178,75,331,277,113,399
"ENSMUSG00000031479",3257,2801,5803,4548,4122,5534
"ENSMUSG00000031480",9051,11627,20635,15205,17946,20010
"ENSMUSG00000031481",0,0,11,0,9,1
"ENSMUSG00000031482",881,1537,2305,793,1225,1460
"ENSMUSG00000031483",4790,4319,6835,5084,5049,3802
"ENSMUSG00000031485",1692,2583,2720,2523,2703,1896
"ENSMUSG00000031486",8888,5673,9673,6636,7623,6531
"ENSMUSG00000031487",328,353,455,246,480,415
"ENSMUSG00000031488",5806,6214,13677,7686,7387,8498
"ENSMUSG00000031489",0,0,0,0,0,0
"ENSMUSG00000031490",1193,515,680,1194,722,625
"ENSMUSG00000031491",0,0,0,0,0,0
"ENSMUSG00000031492",0,0,0,0,0,0
"ENSMUSG00000031493",166,60,44,0,163,35
"ENSMUSG00000031494",0,0,0,0,0,26
"ENSMUSG00000031495",0,0,0,0,0,0
"ENSMUSG00000031497",0,0,0,0,0,9
"ENSMUSG00000031502",33574,27326,42751,49288,36309,45581
"ENSMUSG00000031503",21630,20224,29759,27640,23624,26297
"ENSMUSG00000031504",305,252,510,210,177,122
"ENSMUSG00000031505",2175,1898,2530,1205,1821,1652
"ENSMUSG00000031506",0,0,0,124,0,0
"ENSMUSG00000031508",3161,2655,4067,3502,3348,3993
"ENSMUSG00000031509",0,0,0,0,0,0
"ENSMUSG00000031510",0,0,0,0,0,0
"ENSMUSG00000031511",325,316,373,442,650,516
"ENSMUSG00000031512",1,1,0,0,0,13
"ENSMUSG00000031513",2825,2202,3249,2775,2882,2687
"ENSMUSG00000031516",1764,1853,2510,1395,1817,1749
"ENSMUSG00000031517",1490,1360,2685,651,360,517
"ENSMUSG00000031518",0,0,0,0,0,0
"ENSMUSG00000031519",68,0,0,0,34,50
"ENSMUSG00000031520",2738,3794,4598,2583,4867,3924
"ENSMUSG00000031521",998,1388,1697,1123,1486,993
"ENSMUSG00000031523",1672,973,2154,1811,1378,1395
"ENSMUSG00000031527",986,912,1465,1603,1449,1170
"ENSMUSG00000031529",395,1176,1583,952,319,964
"ENSMUSG00000031530",349,127,484,67,343,209
"ENSMUSG00000031532",16071,13689,20015,17004,17420,13993
"ENSMUSG00000031533",556,899,791,873,1168,665
"ENSMUSG00000031534",968,774,1381,861,1088,1066
"ENSMUSG00000031535",0,0,0,0,0,0
"ENSMUSG00000031536",1819,1271,1404,1935,1857,1387
"ENSMUSG00000031537",8145,5566,9057,8220,7669,6995
"ENSMUSG00000031538",69636,42385,58525,75081,37282,41036
"ENSMUSG00000031539",2070,2136,3888,1587,2794,2889
"ENSMUSG00000031540",1118,959,1668,1639,1005,1592
"ENSMUSG00000031543",27,4,2,0,0,0
"ENSMUSG00000031545",4316,3536,6494,5201,3585,4831
"ENSMUSG00000031546",1451,1329,1378,1302,1388,1299
"ENSMUSG00000031548",0,22,107,29,5,92
"ENSMUSG00000031549",0,0,0,0,0,0
"ENSMUSG00000031551",41,48,57,0,0,29
"ENSMUSG00000031552",0,0,0,0,0,0
"ENSMUSG00000031553",0,77,0,15,7,0
"ENSMUSG00000031554",0,0,0,0,0,0
"ENSMUSG00000031555",3201,2990,3583,3450,4070,3018
"ENSMUSG00000031556",3463,2865,4162,3327,3422,3494
"ENSMUSG00000031557",3146,2689,3499,3134,2621,2626
"ENSMUSG00000031558",331,52,138,82,329,199
"ENSMUSG00000031559",0,0,0,0,0,0
"ENSMUSG00000031561",0,1,0,0,0,0
"ENSMUSG00000031562",0,0,39,0,70,23
"ENSMUSG00000031563",7851,8324,13591,8714,7193,7749
"ENSMUSG00000031565",1533,1020,2202,2090,1057,1465
"ENSMUSG00000031568",657,1269,1933,1728,1174,872
"ENSMUSG00000031570",1506,1160,2143,1736,1788,1408
"ENSMUSG00000031574",38,15,226,84,63,55
"ENSMUSG00000031575",2999,1733,2711,2981,3816,1875
"ENSMUSG00000031576",0,0,0,0,0,0
"ENSMUSG00000031577",623,388,909,1018,671,640
"ENSMUSG00000031578",1210,670,758,825,960,1189
"ENSMUSG00000031583",940,998,1893,1038,1061,592
"ENSMUSG00000031584",2949,3274,4592,4164,3827,4040
"ENSMUSG00000031585",2285,2113,3090,2551,2421,2373
"ENSMUSG00000031586",9578,7416,10905,9267,10416,7297
"ENSMUSG00000031590",1909,1420,2581,1951,2124,1835
"ENSMUSG00000031591",7118,7406,10967,5944,7322,7195
"ENSMUSG00000031592",1161,1545,2081,998,1239,1419
"ENSMUSG00000031594",0,0,0,0,0,0
"ENSMUSG00000031595",0,17,0,42,59,34
"ENSMUSG00000031596",183,267,263,16,79,353
"ENSMUSG00000031600",2118,2785,3788,2825,2377,1859
"ENSMUSG00000031601",3175,4181,4176,4325,3610,4232
"ENSMUSG00000031603",0,0,0,0,0,0
"ENSMUSG00000031604",2594,2493,3078,2725,2778,3256
"ENSMUSG00000031605",10096,6443,8893,9619,6109,6179
"ENSMUSG00000031608",1651,2029,3236,1425,1501,1724
"ENSMUSG00000031609",814,503,714,896,645,586
"ENSMUSG00000031610",5,0,0,0,6,0
"ENSMUSG00000031613",25,49,22,41,46,0
"ENSMUSG00000031616",431,602,1158,1199,781,946
"ENSMUSG00000031617",778,791,1002,211,1095,815
"ENSMUSG00000031618",1235,2804,3372,892,995,687
"ENSMUSG00000031620",0,0,0,0,0,0
"ENSMUSG00000031621",0,0,0,0,0,0
"ENSMUSG00000031622",2750,2464,3191,3000,3177,4164
"ENSMUSG00000031626",16871,19462,31095,19993,21387,23086
"ENSMUSG00000031627",3022,2781,4882,4839,3492,3932
"ENSMUSG00000031628",15,303,163,236,244,202
"ENSMUSG00000031629",7,15,0,62,29,5
"ENSMUSG00000031631",841,1241,2391,834,790,1191
"ENSMUSG00000031633",9970,10225,13029,8925,12822,10405
"ENSMUSG00000031634",1237,1168,1471,993,1070,1254
"ENSMUSG00000031635",0,0,0,0,0,0
"ENSMUSG00000031636",623,630,367,584,493,563
"ENSMUSG00000031637",1,1,103,13,0,11
"ENSMUSG00000031639",1419,1146,2915,1852,1808,1927
"ENSMUSG00000031640",0,0,0,0,0,0
"ENSMUSG00000031641",267,265,445,188,199,217
"ENSMUSG00000031642",1574,2019,3333,1434,1879,2659
"ENSMUSG00000031644",1192,1054,1553,1544,890,1482
"ENSMUSG00000031645",0,0,0,0,0,0
"ENSMUSG00000031647",221,43,112,96,342,69
"ENSMUSG00000031651",0,0,0,0,0,0
"ENSMUSG00000031652",1686,1498,2504,2604,2237,1908
"ENSMUSG00000031654",10,0,0,0,4,13
"ENSMUSG00000031657",1880,1745,1794,1613,1942,1370
"ENSMUSG00000031659",1,5,0,0,0,58
"ENSMUSG00000031660",1484,2602,2480,2486,2854,3058
"ENSMUSG00000031661",12294,12317,18676,14758,21433,18489
"ENSMUSG00000031662",51,45,26,32,83,30
"ENSMUSG00000031665",0,66,0,0,61,32
"ENSMUSG00000031666",1611,2179,5339,2569,2108,2811
"ENSMUSG00000031667",5248,4007,6224,4120,5289,4523
"ENSMUSG00000031668",2080,1784,2846,2106,1971,1670
"ENSMUSG00000031669",206,156,616,391,408,301
"ENSMUSG00000031671",806,477,780,440,787,907
"ENSMUSG00000031672",2864,2624,4346,2346,2722,2937
"ENSMUSG00000031673",13,18,17,18,174,279
"ENSMUSG00000031681",7652,5058,8678,6425,6462,7333
"ENSMUSG00000031682",0,0,0,0,0,0
"ENSMUSG00000031683",1557,1362,1165,1035,1519,1303
"ENSMUSG00000031684",1632,1314,2104,1488,1974,1532
"ENSMUSG00000031688",0,0,0,0,0,0
"ENSMUSG00000031691",1499,1327,2184,1459,1207,1561
"ENSMUSG00000031696",9105,9089,11891,8892,10307,8704
"ENSMUSG00000031697",895,818,968,632,727,880
"ENSMUSG00000031698",0,0,0,0,0,0
"ENSMUSG00000031700",390,72,250,293,252,303
"ENSMUSG00000031701",6039,5450,7859,6444,6088,6291
"ENSMUSG00000031703",6553,6133,9625,6220,7130,6828
"ENSMUSG00000031706",685,581,1282,1042,748,623
"ENSMUSG00000031708",4950,4926,7595,4441,6001,4904
"ENSMUSG00000031709",0,0,0,72,106,0
"ENSMUSG00000031710",0,0,0,0,0,0
"ENSMUSG00000031711",1794,1113,1923,1422,1485,1055
"ENSMUSG00000031712",501,930,1018,662,954,922
"ENSMUSG00000031714",4783,6370,12188,5289,6446,9132
"ENSMUSG00000031715",2892,2394,5244,2713,2963,2831
"ENSMUSG00000031722",0,19,0,35,0,0
"ENSMUSG00000031723",181,142,278,182,487,217
"ENSMUSG00000031725",1,0,0,0,0,0
"ENSMUSG00000031727",0,0,0,0,0,0
"ENSMUSG00000031728",515,475,1029,603,961,665
"ENSMUSG00000031729",6362,6674,8852,8510,6623,7127
"ENSMUSG00000031730",1558,1951,1656,837,1488,1311
"ENSMUSG00000031731",1857,2234,4106,2076,2496,2077
"ENSMUSG00000031732",2,36,165,156,100,44
"ENSMUSG00000031734",1251,1435,2169,803,752,715
"ENSMUSG00000031736",14,71,33,0,46,79
"ENSMUSG00000031737",1,91,122,41,68,87
"ENSMUSG00000031738",0,0,0,0,0,0
"ENSMUSG00000031740",130,2,322,57,54,176
"ENSMUSG00000031748",140,86,91,84,26,146
"ENSMUSG00000031749",3504,3394,4995,3261,4858,5255
"ENSMUSG00000031750",758,445,632,582,595,557
"ENSMUSG00000031751",14669,14631,24026,18559,15804,15808
"ENSMUSG00000031753",2369,2341,3691,2460,3023,2876
"ENSMUSG00000031754",514,272,664,216,533,145
"ENSMUSG00000031755",1041,867,1577,861,851,1192
"ENSMUSG00000031756",143,66,109,40,106,101
"ENSMUSG00000031757",0,0,0,0,0,0
"ENSMUSG00000031758",1188,730,778,566,1158,1724
"ENSMUSG00000031760",12,29,15,14,10,16
"ENSMUSG00000031762",3994,2103,3450,1229,2043,2082
"ENSMUSG00000031765",8986,5072,7792,3385,5281,5509
"ENSMUSG00000031766",0,14,14,65,20,48
"ENSMUSG00000031767",335,547,1042,521,970,612
"ENSMUSG00000031770",17786,15150,24704,19182,15936,13494
"ENSMUSG00000031772",0,0,0,0,0,7
"ENSMUSG00000031774",2112,2112,2623,2192,2996,2790
"ENSMUSG00000031775",12367,8239,14257,16456,14252,12125
"ENSMUSG00000031776",29348,20850,37235,31576,34328,29710
"ENSMUSG00000031778",20951,15848,24124,20551,15651,15866
"ENSMUSG00000031779",0,3,0,0,0,0
"ENSMUSG00000031780",0,0,1,0,0,2
"ENSMUSG00000031781",2553,2081,3974,1984,3490,2682
"ENSMUSG00000031782",1485,1433,2064,876,1260,1919
"ENSMUSG00000031783",809,774,1163,858,1042,925
"ENSMUSG00000031785",46541,25144,41312,47411,23890,26995
"ENSMUSG00000031786",42,56,0,42,0,30
"ENSMUSG00000031787",1189,725,1861,718,1257,1200
"ENSMUSG00000031788",12161,7105,15107,10428,11405,11089
"ENSMUSG00000031789",37,93,186,24,27,152
"ENSMUSG00000031790",566,282,470,2312,883,1088
"ENSMUSG00000031791",192,406,260,281,85,135
"ENSMUSG00000031792",725,640,1154,1160,1002,763
"ENSMUSG00000031796",992,1091,1285,1732,1691,1043
"ENSMUSG00000031799",47544,32830,43514,56322,36024,33956
"ENSMUSG00000031802",33,0,39,2,0,83
"ENSMUSG00000031803",3495,2388,3959,3451,2906,3223
"ENSMUSG00000031805",5747,5586,7334,5296,6138,6442
"ENSMUSG00000031807",1042,971,1513,1185,1157,1124
"ENSMUSG00000031808",1203,1007,2539,803,1386,2207
"ENSMUSG00000031809",10,0,0,0,0,0
"ENSMUSG00000031812",17384,15871,23889,17108,18580,16146
"ENSMUSG00000031813",991,1174,1614,1321,1570,1280
"ENSMUSG00000031816",722,549,848,439,707,782
"ENSMUSG00000031818",6886,5855,7119,5546,6479,6304
"ENSMUSG00000031819",1792,2122,3905,2541,2248,2744
"ENSMUSG00000031820",2456,2727,4821,2922,3175,3331
"ENSMUSG00000031821",88,30,62,1,0,23
"ENSMUSG00000031822",767,745,1126,729,1042,931
"ENSMUSG00000031823",2840,2879,4054,3953,3410,3880
"ENSMUSG00000031824",1788,1613,2031,1415,1027,2372
"ENSMUSG00000031825",1688,1357,1381,3085,2307,3052
"ENSMUSG00000031826",2540,1906,2534,2749,2845,2108
"ENSMUSG00000031827",104,110,85,99,66,211
"ENSMUSG00000031828",554,720,1326,259,594,651
"ENSMUSG00000031831",0,0,0,0,7,0
"ENSMUSG00000031832",495,479,1098,492,680,148
"ENSMUSG00000031833",521,416,975,487,602,878
"ENSMUSG00000031834",1140,1171,1997,1160,1954,1264
"ENSMUSG00000031835",5386,5841,9177,5345,4795,4824
"ENSMUSG00000031837",0,0,0,0,0,0
"ENSMUSG00000031838",27,29,126,45,97,38
"ENSMUSG00000031839",5539,4358,5410,5764,5980,4619
"ENSMUSG00000031840",955,1193,1874,711,1255,1444
"ENSMUSG00000031841",8344,5044,7933,2442,4080,2520
"ENSMUSG00000031842",529,75,452,87,269,352
"ENSMUSG00000031843",790,737,1069,623,792,1048
"ENSMUSG00000031844",0,0,0,0,0,0
"ENSMUSG00000031845",0,0,0,0,0,0
"ENSMUSG00000031847",63,28,1,0,0,1
"ENSMUSG00000031848",1175,963,1666,1096,1423,1060
"ENSMUSG00000031849",0,0,0,60,0,5
"ENSMUSG00000031851",643,412,661,426,604,685
"ENSMUSG00000031853",0,0,0,0,0,0
"ENSMUSG00000031858",2412,2063,3438,3891,3111,2802
"ENSMUSG00000031860",92,23,20,22,7,1
"ENSMUSG00000031861",0,0,0,0,4,0
"ENSMUSG00000031862",4931,3357,4910,7072,4218,5305
"ENSMUSG00000031864",1590,1558,2543,1789,1596,1793
"ENSMUSG00000031865",10888,8060,16113,12073,8022,9412
"ENSMUSG00000031870",0,0,1,0,0,0
"ENSMUSG00000031871",7525,6987,10894,7330,7910,7423
"ENSMUSG00000031872",109,42,87,113,0,70
"ENSMUSG00000031875",1161,912,1750,1312,1702,1554
"ENSMUSG00000031876",0,0,0,0,0,0
"ENSMUSG00000031877",557,206,385,143,278,414
"ENSMUSG00000031878",2197,1827,2707,4087,3073,2245
"ENSMUSG00000031879",1106,648,1156,1258,1014,892
"ENSMUSG00000031880",2039,2428,3073,1727,2168,1882
"ENSMUSG00000031881",0,58,14,0,119,281
"ENSMUSG00000031883",887,661,1229,429,826,349
"ENSMUSG00000031884",0,0,0,0,0,0
"ENSMUSG00000031885",2391,3448,5354,2936,4340,3199
"ENSMUSG00000031886",507,755,978,244,532,1211
"ENSMUSG00000031887",566,692,980,852,1057,736
"ENSMUSG00000031889",2130,1737,3271,3076,2267,2753
"ENSMUSG00000031891",1,4,42,0,7,62
"ENSMUSG00000031893",8,0,0,5,0,0
"ENSMUSG00000031896",31,23,184,29,68,16
"ENSMUSG00000031897",3801,3241,5216,3625,4363,3720
"ENSMUSG00000031898",0,0,0,30,0,0
"ENSMUSG00000031901",570,506,1038,458,453,217
"ENSMUSG00000031902",1902,1398,2756,2390,2137,3274
"ENSMUSG00000031903",583,678,1374,1007,788,849
"ENSMUSG00000031904",359,445,726,620,338,743
"ENSMUSG00000031906",227,25,132,0,13,1
"ENSMUSG00000031907",38,60,44,76,52,70
"ENSMUSG00000031910",107,0,65,0,7,72
"ENSMUSG00000031913",3384,3351,4533,4176,5062,3331
"ENSMUSG00000031916",2306,1548,2527,2031,2335,1987
"ENSMUSG00000031917",1012,808,1186,825,1355,1247
"ENSMUSG00000031918",3085,3901,5785,3629,4650,4999
"ENSMUSG00000031919",0,0,1,0,0,5
"ENSMUSG00000031921",1395,567,1663,1213,1025,1062
"ENSMUSG00000031922",1646,1882,2352,1891,2266,2842
"ENSMUSG00000031924",14418,18299,31843,17022,22359,23138
"ENSMUSG00000031925",985,1351,1858,934,2255,1392
"ENSMUSG00000031927",0,0,0,0,0,0
"ENSMUSG00000031928",521,539,1094,722,356,804
"ENSMUSG00000031930",4384,4334,7162,3405,3930,5432
"ENSMUSG00000031931",470,351,754,533,554,724
"ENSMUSG00000031932",0,0,0,0,0,0
"ENSMUSG00000031933",0,0,0,0,0,0
"ENSMUSG00000031934",12,19,107,53,140,226
"ENSMUSG00000031935",1280,1383,2462,1597,1522,945
"ENSMUSG00000031936",0,0,0,0,0,0
"ENSMUSG00000031937",1,1,0,0,1,46
"ENSMUSG00000031938",343,399,639,227,590,626
"ENSMUSG00000031939",1104,1154,1183,1057,920,858
"ENSMUSG00000031948",3083,3015,3880,2984,3875,3789
"ENSMUSG00000031949",188,160,585,243,385,78
"ENSMUSG00000031950",1865,1368,1821,1384,1932,1581
"ENSMUSG00000031951",778,366,1067,496,509,536
"ENSMUSG00000031952",0,0,0,0,0,0
"ENSMUSG00000031953",9,189,202,25,427,64
"ENSMUSG00000031954",3450,2265,3589,3021,3162,2976
"ENSMUSG00000031955",8587,6014,10946,6153,5776,6104
"ENSMUSG00000031957",0,0,1,16,0,0
"ENSMUSG00000031958",67,78,133,101,42,175
"ENSMUSG00000031959",340,564,415,127,315,567
"ENSMUSG00000031960",3014,4154,6738,4505,4053,4240
"ENSMUSG00000031962",0,0,0,0,0,0
"ENSMUSG00000031963",0,0,150,0,0,18
"ENSMUSG00000031965",0,0,0,0,0,0
"ENSMUSG00000031966",0,42,0,0,0,1
"ENSMUSG00000031967",1801,1582,2187,1653,1400,2137
"ENSMUSG00000031969",1283,1672,2443,2268,2244,2590
"ENSMUSG00000031970",51,13,17,0,8,0
"ENSMUSG00000031971",97,19,111,24,1,97
"ENSMUSG00000031972",38,14,0,0,27,0
"ENSMUSG00000031974",2082,1598,3035,1699,1976,2112
"ENSMUSG00000031976",514,745,736,402,953,992
"ENSMUSG00000031979",1537,1901,2624,2101,2790,1948
"ENSMUSG00000031980",43,0,0,33,54,25
"ENSMUSG00000031981",1,0,0,0,0,0
"ENSMUSG00000031982",90,88,91,209,197,62
"ENSMUSG00000031983",3041,2624,3789,3877,4269,3080
"ENSMUSG00000031984",706,637,1003,491,777,569
"ENSMUSG00000031985",3143,2583,4911,4814,4436,4269
"ENSMUSG00000031986",147,53,108,186,60,66
"ENSMUSG00000031987",4192,4247,7621,3618,4075,3326
"ENSMUSG00000031988",1871,2248,2735,1826,1929,2436
"ENSMUSG00000031990",895,1395,1977,916,1466,1733
"ENSMUSG00000031991",0,0,0,0,0,0
"ENSMUSG00000031993",1807,3506,5026,2839,2427,3769
"ENSMUSG00000031994",0,67,357,532,516,339
"ENSMUSG00000031995",89,619,249,177,73,165
"ENSMUSG00000031996",81877,85722,140013,83979,82832,84693
"ENSMUSG00000031997",71,0,0,105,0,0
"ENSMUSG00000031998",0,0,0,0,0,0
"ENSMUSG00000032000",1583,1757,3224,1428,2319,1611
"ENSMUSG00000032002",2665,2209,3094,2863,3334,2530
"ENSMUSG00000032006",9680,7007,11065,9875,9660,9388
"ENSMUSG00000032009",101,62,67,127,121,105
"ENSMUSG00000032010",485,707,1185,557,836,313
"ENSMUSG00000032011",1,2,0,0,0,1
"ENSMUSG00000032012",5,12,15,73,1,19
"ENSMUSG00000032013",0,0,0,0,0,0
"ENSMUSG00000032014",230,99,374,380,279,126
"ENSMUSG00000032015",138,1,116,228,48,0
"ENSMUSG00000032017",1,0,2,0,0,0
"ENSMUSG00000032018",2627,2262,2680,1760,2875,2649
"ENSMUSG00000032020",106,84,172,43,209,71
"ENSMUSG00000032021",0,0,0,0,0,0
"ENSMUSG00000032023",0,0,0,0,0,0
"ENSMUSG00000032024",23,22,105,23,16,103
"ENSMUSG00000032026",5625,3600,5454,5133,5580,4343
"ENSMUSG00000032028",870,550,1108,893,1211,1148
"ENSMUSG00000032030",1280,2784,3093,1532,1809,2684
"ENSMUSG00000032033",0,0,0,0,0,0
"ENSMUSG00000032034",0,0,0,0,0,0
"ENSMUSG00000032035",33956,28685,53638,26656,35978,39193
"ENSMUSG00000032036",88,108,299,185,27,9
"ENSMUSG00000032038",1395,994,1687,787,1437,1427
"ENSMUSG00000032040",900,746,1173,811,956,746
"ENSMUSG00000032041",1304,1737,2067,1853,2143,1613
"ENSMUSG00000032042",11000,10020,14141,11771,12137,10093
"ENSMUSG00000032044",828,642,1398,1062,790,707
"ENSMUSG00000032046",1746,2636,4247,1938,2936,2895
"ENSMUSG00000032047",2752,4546,5542,1711,3927,3418
"ENSMUSG00000032048",0,0,0,0,0,0
"ENSMUSG00000032050",19176,20119,29624,16053,18175,18223
"ENSMUSG00000032051",1482,1283,1192,989,1345,1053
"ENSMUSG00000032053",14,41,136,1,362,129
"ENSMUSG00000032056",0,0,12,0,0,0
"ENSMUSG00000032057",29,29,13,29,19,2
"ENSMUSG00000032058",1998,3232,4952,1580,2654,3617
"ENSMUSG00000032059",1220,1154,1852,1708,2037,1694
"ENSMUSG00000032060",407,419,704,891,525,589
"ENSMUSG00000032062",40,40,118,8,23,14
"ENSMUSG00000032064",3210,4004,7406,2793,2716,3572
"ENSMUSG00000032065",0,3,0,0,21,0
"ENSMUSG00000032066",232,357,765,200,186,52
"ENSMUSG00000032067",890,1072,1149,747,762,924
"ENSMUSG00000032068",0,23,4,3,1,10
"ENSMUSG00000032076",4621,6506,6605,4352,5313,5550
"ENSMUSG00000032077",660,662,602,1287,728,721
"ENSMUSG00000032078",2219,1780,2988,2339,2862,2400
"ENSMUSG00000032079",0,0,0,0,0,0
"ENSMUSG00000032080",0,0,0,0,0,0
"ENSMUSG00000032081",0,0,0,0,0,0
"ENSMUSG00000032083",0,17,1,0,0,0
"ENSMUSG00000032085",5632,4852,4935,6646,5065,5003
"ENSMUSG00000032086",1390,1844,2266,1737,524,1613
"ENSMUSG00000032087",0,0,0,0,0,0
"ENSMUSG00000032089",231,0,6,0,0,0
"ENSMUSG00000032091",0,0,0,0,0,0
"ENSMUSG00000032092",0,57,2,0,0,0
"ENSMUSG00000032093",26,20,41,0,0,0
"ENSMUSG00000032094",0,7,0,0,0,0
"ENSMUSG00000032096",10563,12159,17353,13010,9691,12152
"ENSMUSG00000032097",1402,974,753,1094,922,1445
"ENSMUSG00000032098",0,0,0,0,0,0
"ENSMUSG00000032099",0,0,0,0,0,0
"ENSMUSG00000032101",0,0,42,0,0,0
"ENSMUSG00000032103",0,2,0,0,0,0
"ENSMUSG00000032105",0,3,0,0,0,0
"ENSMUSG00000032108",0,0,0,0,0,0
"ENSMUSG00000032109",653,456,746,250,654,584
"ENSMUSG00000032110",0,0,0,0,0,0
"ENSMUSG00000032112",2505,1808,2910,2360,2865,2569
"ENSMUSG00000032113",16,98,67,3,0,89
"ENSMUSG00000032114",794,829,1193,774,857,826
"ENSMUSG00000032115",256,292,1035,497,402,867
"ENSMUSG00000032116",6003,6421,9938,8340,9213,8811
"ENSMUSG00000032118",1868,2379,2833,1416,1973,1644
"ENSMUSG00000032119",512,617,554,228,610,368
"ENSMUSG00000032120",4641,3441,5080,4080,4200,3825
"ENSMUSG00000032121",406,438,852,625,553,717
"ENSMUSG00000032122",0,36,0,0,81,0
"ENSMUSG00000032123",2736,2425,4053,2966,3598,2366
"ENSMUSG00000032125",22913,19653,34129,27617,23049,27266
"ENSMUSG00000032126",1022,787,1091,1116,1161,1392
"ENSMUSG00000032127",4053,4257,5136,3074,4359,4437
"ENSMUSG00000032128",55,1,1,24,8,75
"ENSMUSG00000032131",0,0,0,0,0,54
"ENSMUSG00000032134",0,0,0,0,0,0
"ENSMUSG00000032135",4201,2713,3195,3740,3562,4145
"ENSMUSG00000032171",2188,1805,3005,2388,2763,2135
"ENSMUSG00000032172",19,37,31,2,14,0
"ENSMUSG00000032174",15,19,12,0,9,25
"ENSMUSG00000032175",2021,2133,3825,2386,1608,2239
"ENSMUSG00000032177",691,602,409,204,254,598
"ENSMUSG00000032178",2467,2173,3697,2188,3122,3026
"ENSMUSG00000032179",38,80,103,88,30,97
