,OH1,OH3,OH4,YH1,YH3,YH4_1,YH4_L2
ENSMUSG00000024240,868,946,1188,894,1489,1390,1389
ENSMUSG00000024241,2020,3474,2827,1176,2698,2059,2179
ENSMUSG00000024242,10178,11986,11697,9363,11192,13449,13761
ENSMUSG00000024245,619,1251,866,548,863,722,790
ENSMUSG00000024246,581,319,805,395,483,264,285
ENSMUSG00000024247,204,161,150,142,292,286,270
ENSMUSG00000024248,1672,1576,1922,1403,1538,1935,1996
ENSMUSG00000024251,421,667,367,453,122,620,589
ENSMUSG00000024253,433,508,440,191,71,405,489
ENSMUSG00000024254,0,0,0,0,0,0,0
ENSMUSG00000024256,0,0,0,0,0,0,0
ENSMUSG00000024258,2257,2306,1728,1572,1789,1901,1882
ENSMUSG00000024259,2814,3509,2803,3320,2647,3453,3496
ENSMUSG00000024260,942,854,1354,714,393,941,951
ENSMUSG00000024261,0,0,0,0,0,0,0
ENSMUSG00000024266,0,0,0,0,0,0,0
ENSMUSG00000024268,90,248,56,62,0,203,205
ENSMUSG00000024269,2425,2656,2749,2486,2375,2968,2965
ENSMUSG00000024270,501,868,838,1137,408,1262,1220
ENSMUSG00000024271,2891,4265,3147,2601,3117,3934,4138
ENSMUSG00000024273,142,178,341,133,210,273,259
ENSMUSG00000024274,0,0,0,0,50,5,17
ENSMUSG00000024276,545,1497,1232,600,352,1436,1459
ENSMUSG00000024277,6506,9691,9901,7403,9055,10339,10658
ENSMUSG00000024283,5435,6116,7420,7782,7281,7170,7425
ENSMUSG00000024286,7205,6155,5158,9198,5413,5891,6350
ENSMUSG00000024287,3076,3189,3978,3271,2524,3083,3152
ENSMUSG00000024290,5960,5888,6011,4695,5121,6325,6487
ENSMUSG00000024292,0,0,0,0,0,0,0
ENSMUSG00000024293,1419,4167,2619,2578,3200,2662,2852
ENSMUSG00000024294,2624,3183,3723,2424,2378,2488,2482
ENSMUSG00000024295,1,0,18,0,0,0,0
ENSMUSG00000024298,1123,1391,816,619,952,1952,2006
ENSMUSG00000024299,3339,5601,6097,2273,4958,5119,5443
ENSMUSG00000024300,0,93,93,0,135,5,1
ENSMUSG00000024301,2,37,2,60,0,21,13
ENSMUSG00000024302,150,208,119,74,147,564,600
ENSMUSG00000024304,0,1,0,1,0,51,57
ENSMUSG00000024306,0,0,0,0,0,0,0
ENSMUSG00000024308,33666,38451,36564,29536,31666,34320,35200
ENSMUSG00000024309,814,937,807,638,719,826,854
ENSMUSG00000024312,1323,746,872,1166,531,894,855
ENSMUSG00000024313,0,0,0,0,0,0,0
ENSMUSG00000024317,1246,2306,1916,1934,2320,2265,2364
ENSMUSG00000024319,5087,4799,5366,3465,3014,4870,5081
ENSMUSG00000024325,1285,1097,1534,1045,1342,1483,1462
ENSMUSG00000024327,294,299,271,284,286,352,346
ENSMUSG00000024330,2,118,156,7,64,0,0
ENSMUSG00000024331,0,104,134,0,139,0,0
ENSMUSG00000024334,22,35,0,19,0,10,9
ENSMUSG00000024335,21138,31169,27922,27464,28394,28904,29450
ENSMUSG00000024338,4682,4797,4063,2645,3333,4901,4893
ENSMUSG00000024339,11472,13814,10781,9060,10929,12136,12355
ENSMUSG00000024340,0,0,0,0,0,0,0
ENSMUSG00000024346,1120,937,798,773,1050,1448,1369
ENSMUSG00000024347,0,0,0,0,0,0,0
ENSMUSG00000024349,4760,4187,3335,4781,3999,4169,4121
ENSMUSG00000024350,1107,1339,1303,1147,1481,1850,1798
ENSMUSG00000024352,32,11,11,0,43,6,14
ENSMUSG00000024353,0,0,33,0,0,1,1
ENSMUSG00000024354,110,40,19,20,2,4,3
ENSMUSG00000024357,1301,1168,1648,791,1855,1576,1630
ENSMUSG00000024359,7313,9134,7430,8367,9131,10613,11043
ENSMUSG00000024360,3029,3658,2820,2471,2587,2811,2857
ENSMUSG00000024365,0,0,0,0,0,0,0
ENSMUSG00000024366,63,47,0,0,0,0,0
ENSMUSG00000024369,1602,1296,1142,707,1405,1634,1712
ENSMUSG00000024370,1996,3061,4099,3308,3397,3844,3873
ENSMUSG00000024371,0,0,6,8,11,5,5
ENSMUSG00000024376,1318,2565,1885,1563,2108,2398,2414
ENSMUSG00000024378,694,1189,1036,491,1392,977,1026
ENSMUSG00000024379,35,0,23,32,0,44,46
ENSMUSG00000024381,1169,1295,1263,1271,2110,1816,1858
ENSMUSG00000024382,806,1399,704,667,750,1687,1702
ENSMUSG00000024383,912,1181,931,949,999,704,746
ENSMUSG00000024384,1512,3133,2153,2045,2600,2436,2557
ENSMUSG00000024386,0,0,0,0,0,0,0
ENSMUSG00000024387,1980,2087,2036,1671,2045,2438,2465
ENSMUSG00000024388,167,85,78,99,65,241,241
ENSMUSG00000024391,0,0,0,0,0,1,3
ENSMUSG00000024392,3527,3699,3493,3082,3322,3600,3630
ENSMUSG00000024393,1075,1045,852,559,706,842,950
ENSMUSG00000024395,55676,42193,39976,40660,38441,38174,39020
ENSMUSG00000024397,1,0,0,12,11,2,3
ENSMUSG00000024399,48,229,72,19,11,63,77
ENSMUSG00000024400,3424,4124,2402,2565,2737,3081,3117
ENSMUSG00000024401,1205,2645,1461,1511,1758,1018,1024
ENSMUSG00000024402,0,0,0,0,0,1,5
ENSMUSG00000024403,267,118,158,108,147,72,85
ENSMUSG00000024404,3153,4619,4863,5758,4695,5114,5356
ENSMUSG00000024406,0,0,0,0,0,0,0
ENSMUSG00000024409,0,0,0,0,0,5,11
ENSMUSG00000024410,2358,2800,2388,1926,2074,2189,2205
ENSMUSG00000024411,0,0,121,0,0,4,2
ENSMUSG00000024413,645,381,911,470,343,727,763
ENSMUSG00000024414,1315,1671,1133,1015,1478,1607,1775
ENSMUSG00000024420,756,1603,1642,1050,553,1427,1477
ENSMUSG00000024421,597,279,382,654,1029,263,266
ENSMUSG00000024422,2730,3712,3140,3235,2284,3473,3565
ENSMUSG00000024423,1416,1579,1688,793,2141,1453,1465
ENSMUSG00000024424,31,0,14,13,6,199,184
ENSMUSG00000024425,8234,10560,8101,6101,7832,9786,10120
ENSMUSG00000024426,596,274,255,274,395,442,476
ENSMUSG00000024427,4975,5008,4289,4486,2452,5327,5351
ENSMUSG00000024429,2060,3371,2282,1215,2961,2176,2146
ENSMUSG00000024430,8,42,60,5,27,57,47
ENSMUSG00000024431,6884,13570,8735,8449,10703,10573,10920
ENSMUSG00000024436,210,226,218,172,132,261,221
ENSMUSG00000024437,100,103,97,58,60,105,137
ENSMUSG00000024440,3421,6202,4252,7717,4557,5302,5492
ENSMUSG00000024442,682,852,688,704,778,1076,1104
ENSMUSG00000024446,540,606,544,396,378,579,567
ENSMUSG00000024448,0,0,0,0,0,0,0
ENSMUSG00000024451,18114,18833,20772,17772,13640,17890,18510
ENSMUSG00000024454,2866,4838,4076,1500,3571,3749,3974
ENSMUSG00000024456,1162,1090,673,502,831,759,774
ENSMUSG00000024457,2382,3777,3860,3545,3491,5972,6015
ENSMUSG00000024459,0,0,57,0,0,26,24
ENSMUSG00000024462,656,1145,943,337,630,1078,1135
ENSMUSG00000024471,0,0,0,0,0,47,49
ENSMUSG00000024472,476,302,221,373,718,485,494
ENSMUSG00000024474,2762,2957,3633,2855,2980,3590,3699
ENSMUSG00000024477,1246,2452,1624,3020,1863,2065,2302
ENSMUSG00000024479,6,1,137,3,0,3,3
ENSMUSG00000024480,811,657,567,638,715,895,922
ENSMUSG00000024481,0,0,0,0,0,0,0
ENSMUSG00000024483,3271,3255,2775,2877,3169,2548,2472
ENSMUSG00000024485,2,0,3,3,0,0,1
ENSMUSG00000024486,6414,7871,8020,6734,8738,11006,11239
ENSMUSG00000024487,3448,3643,3152,3070,2864,3552,3645
ENSMUSG00000024491,1488,1402,1491,1611,835,1215,1260
ENSMUSG00000024493,2105,5042,2718,3222,2798,3369,3414
ENSMUSG00000024497,0,0,0,0,0,0,0
ENSMUSG00000024498,2581,3040,2626,3669,3686,3608,3738
ENSMUSG00000024500,0,0,0,0,0,0,0
ENSMUSG00000024501,1762,2109,1419,2080,2118,1815,1916
ENSMUSG00000024502,0,0,0,0,0,0,0
ENSMUSG00000024503,0,0,0,0,0,0,0
ENSMUSG00000024505,376,144,284,83,189,391,354
ENSMUSG00000024507,2550,3693,3740,3407,2891,3268,3473
ENSMUSG00000024510,0,0,0,0,0,0,0
ENSMUSG00000024511,256,199,96,0,0,50,55
ENSMUSG00000024512,0,0,0,0,0,0,0
ENSMUSG00000024513,11016,9315,8283,7129,8549,9726,9944
ENSMUSG00000024515,6390,5515,6061,5686,7221,7436,7634
ENSMUSG00000024516,1143,1451,1342,523,1158,1422,1438
ENSMUSG00000024517,0,0,0,0,0,9,15
ENSMUSG00000024518,0,0,0,0,0,0,0
ENSMUSG00000024519,0,0,0,0,0,0,0
ENSMUSG00000024521,237,602,261,813,243,243,247
ENSMUSG00000024524,250,402,267,118,236,437,428
ENSMUSG00000024525,65,161,220,314,246,204,227
ENSMUSG00000024526,0,0,0,0,0,0,0
ENSMUSG00000024527,1081,3199,3145,2771,1954,1957,2104
ENSMUSG00000024528,437,747,812,920,730,858,927
ENSMUSG00000024529,491,1004,933,703,571,635,684
ENSMUSG00000024530,0,74,0,0,10,1,0
ENSMUSG00000024532,0,0,0,0,0,0,0
ENSMUSG00000024533,291,244,293,848,546,874,904
ENSMUSG00000024534,3483,6840,5761,5811,4480,6786,6984
ENSMUSG00000024535,123,273,438,280,567,252,263
ENSMUSG00000024537,1045,836,1165,617,939,1229,1301
ENSMUSG00000024538,6494,8695,5651,5060,7238,9059,9445
ENSMUSG00000024539,1380,1802,1247,1355,1960,1626,1694
ENSMUSG00000024542,324,542,1240,644,1011,831,863
ENSMUSG00000024544,973,720,600,533,999,805,849
ENSMUSG00000024546,1,1,7,0,9,1,3
ENSMUSG00000024548,255,27,107,122,5,32,40
ENSMUSG00000024552,2,60,89,2,0,41,35
ENSMUSG00000024553,0,0,0,0,0,0,0
ENSMUSG00000024556,788,1277,1051,1003,781,1223,1285
ENSMUSG00000024558,1,0,0,73,0,0,1
ENSMUSG00000024560,4341,5318,4882,4285,5275,6366,6536
ENSMUSG00000024561,2369,2297,2495,2324,2422,2252,2487
ENSMUSG00000024563,2463,3621,2660,2283,2793,2564,2627
ENSMUSG00000024565,8,0,1,68,0,6,0
ENSMUSG00000024566,2131,4461,4321,1761,3913,3562,3926
ENSMUSG00000024570,1798,2150,1677,1186,1475,1542,1486
ENSMUSG00000024571,6602,7261,6097,5905,6185,6683,6917
ENSMUSG00000024575,0,0,0,37,32,0,0
ENSMUSG00000024576,15343,19758,14553,16960,15225,16453,17067
ENSMUSG00000024578,0,0,0,0,0,0,0
ENSMUSG00000024579,625,616,523,799,671,825,757
ENSMUSG00000024580,411,595,816,440,373,497,495
ENSMUSG00000024581,1993,1991,2208,1520,2091,2912,2947
ENSMUSG00000024583,3759,4411,3556,3898,2658,4067,4172
ENSMUSG00000024587,5416,6561,5451,7929,6950,7505,7811
ENSMUSG00000024588,2948,4039,4481,2148,3898,3397,3577
ENSMUSG00000024589,2058,3402,1772,2004,2956,1923,1936
ENSMUSG00000024590,351,363,371,401,860,635,666
ENSMUSG00000024592,273,281,339,334,123,435,494
ENSMUSG00000024593,0,0,0,0,0,0,0
ENSMUSG00000024594,1311,1956,2197,2186,3121,2578,2643
ENSMUSG00000024597,1587,2604,2324,4467,3390,2186,2304
ENSMUSG00000024598,0,0,0,0,0,0,0
ENSMUSG00000024600,0,0,0,0,0,0,0
ENSMUSG00000024601,1248,2368,2394,1948,2437,1940,1996
ENSMUSG00000024603,1108,1607,1243,2781,1395,2132,2175
ENSMUSG00000024604,3752,4260,3019,2821,4089,3614,3804
ENSMUSG00000024608,2841,2662,2163,1413,2170,2557,2572
ENSMUSG00000024610,5076,13910,6318,3087,5346,2550,2624
ENSMUSG00000024613,2289,2504,3436,3544,1593,2591,2667
ENSMUSG00000024614,3232,5055,5734,5694,4552,5564,5412
ENSMUSG00000024617,83,244,19,24,34,68,94
ENSMUSG00000024619,0,0,0,0,0,0,0
ENSMUSG00000024620,1580,2368,4447,5177,8182,12148,12327
ENSMUSG00000024621,174,106,328,0,282,167,172
ENSMUSG00000024622,1065,1601,1639,2079,1535,1377,1381
ENSMUSG00000024639,2378,2637,3105,3273,2319,3064,3029
ENSMUSG00000024640,157,277,163,347,347,134,154
ENSMUSG00000024642,2509,2607,2196,2243,2754,2175,2272
ENSMUSG00000024644,2664,3680,1882,1737,2485,2858,2850
ENSMUSG00000024645,754,1368,889,882,1174,1043,1069
ENSMUSG00000024646,5561,6521,5633,4796,5494,7251,7607
ENSMUSG00000024647,0,0,0,0,0,0,0
ENSMUSG00000024650,0,0,0,0,0,0,0
ENSMUSG00000024653,0,0,15,0,0,0,0
ENSMUSG00000024654,91,595,710,386,518,779,863
ENSMUSG00000024658,0,0,0,0,0,0,0
ENSMUSG00000024659,3836,4100,4715,3734,4408,4129,4308
ENSMUSG00000024660,461,533,419,867,616,468,441
ENSMUSG00000024661,42834,45647,39678,30273,37746,46687,47465
ENSMUSG00000024663,429,752,673,409,1122,692,726
ENSMUSG00000024664,2374,2426,2847,3376,3982,2534,2606
ENSMUSG00000024665,135,351,522,243,542,443,399
ENSMUSG00000024666,395,582,268,608,201,437,457
ENSMUSG00000024667,285,264,339,197,281,185,237
ENSMUSG00000024668,2436,1810,2071,1719,1969,1954,2003
ENSMUSG00000024669,1,8,9,13,9,1,0
ENSMUSG00000024670,0,0,0,0,0,0,0
ENSMUSG00000024672,0,0,0,0,0,0,0
ENSMUSG00000024673,0,470,46,194,188,39,63
ENSMUSG00000024675,0,25,0,0,89,0,0
ENSMUSG00000024677,85,335,97,0,74,38,31
ENSMUSG00000024678,249,116,142,67,51,2,1
ENSMUSG00000024679,36,0,0,0,0,0,0
ENSMUSG00000024680,0,0,0,0,0,0,0
ENSMUSG00000024681,0,0,0,0,0,0,0
ENSMUSG00000024682,0,0,0,0,0,0,0
ENSMUSG00000024683,676,645,506,603,590,932,949
ENSMUSG00000024687,2666,1458,3420,3177,2304,2638,2667
ENSMUSG00000024691,1334,687,1234,2404,1653,2326,2424
ENSMUSG00000024694,0,0,29,0,0,4,5
ENSMUSG00000024695,1591,1764,2127,1876,2117,2596,2578
ENSMUSG00000024696,0,102,37,0,74,60,41
ENSMUSG00000024697,64,272,107,569,198,240,204
ENSMUSG00000024712,7164,9433,10066,8555,9156,8974,9317
ENSMUSG00000024713,1558,2852,3245,1984,3136,3575,3561
ENSMUSG00000024725,11147,11983,9166,11409,10712,11071,11526
ENSMUSG00000024726,52,71,87,85,55,92,76
ENSMUSG00000024727,0,13,142,0,0,119,137
ENSMUSG00000024728,0,0,0,0,0,0,0
ENSMUSG00000024729,0,0,0,0,0,0,0
ENSMUSG00000024730,0,76,15,0,0,0,0
ENSMUSG00000024731,0,0,0,0,0,0,0
ENSMUSG00000024732,952,1185,678,729,1421,1172,1212
ENSMUSG00000024734,0,0,0,0,0,0,0
ENSMUSG00000024735,3746,3896,3612,2748,2928,2738,2851
ENSMUSG00000024736,705,678,489,548,380,871,849
ENSMUSG00000024737,233,148,48,64,5,146,117
ENSMUSG00000024738,0,0,0,0,0,0,0
ENSMUSG00000024740,9632,12232,10336,12023,14056,13905,14246
ENSMUSG00000024742,4,3,5,8,10,9,10
ENSMUSG00000024743,1404,1009,1001,582,913,1041,1087
ENSMUSG00000024747,1,0,0,0,0,0,0
ENSMUSG00000024749,0,0,0,0,0,0,0
ENSMUSG00000024750,12316,15087,11490,13758,13413,12203,12755
ENSMUSG00000024754,4641,6165,6007,5175,5429,4417,4550
ENSMUSG00000024757,0,0,0,0,0,0,0
ENSMUSG00000024758,13169,12976,13430,13480,11108,12043,12523
ENSMUSG00000024759,432,957,524,334,854,887,847
ENSMUSG00000024761,2087,2103,1646,1118,1832,1976,2119
ENSMUSG00000024764,788,1050,1294,362,814,1147,1209
ENSMUSG00000024766,1348,1773,1643,1091,1490,1584,1644
ENSMUSG00000024767,1516,1523,1250,898,1611,1755,1760
ENSMUSG00000024768,0,0,0,0,0,0,0
ENSMUSG00000024769,51,29,495,27,115,176,191
ENSMUSG00000024770,0,0,0,0,0,0,0
ENSMUSG00000024771,0,0,0,0,0,0,0
ENSMUSG00000024772,36454,36398,31179,41894,29993,32965,33373
ENSMUSG00000024773,1228,2299,3478,640,1857,1937,1964
ENSMUSG00000024774,0,0,0,0,0,0,0
ENSMUSG00000024776,43,167,115,0,1,217,241
ENSMUSG00000024777,2978,2806,2246,3410,3263,2793,2826
ENSMUSG00000024778,9431,5328,5655,5749,2902,3406,3481
ENSMUSG00000024780,1568,2119,1865,1512,1089,1565,1674
ENSMUSG00000024781,7312,6788,5530,5100,4265,4611,4553
ENSMUSG00000024782,6466,5934,7041,6693,9816,8550,8532
ENSMUSG00000024784,0,0,13,0,0,0,0
ENSMUSG00000024785,1453,771,1300,760,907,1381,1397
ENSMUSG00000024786,0,25,129,0,71,0,0
ENSMUSG00000024787,860,648,568,862,714,1030,1132
ENSMUSG00000024789,2854,4361,4492,3517,2433,4460,4389
ENSMUSG00000024790,1161,592,611,787,544,938,925
ENSMUSG00000024791,41,126,0,0,0,0,0
ENSMUSG00000024792,1490,1009,1223,800,1287,1429,1449
ENSMUSG00000024793,327,258,346,67,56,120,159
ENSMUSG00000024795,99,79,27,449,278,129,105
ENSMUSG00000024797,1750,1619,1578,1676,2305,1954,1932
ENSMUSG00000024798,0,42,85,0,0,112,125
ENSMUSG00000024799,103,89,142,161,192,344,303
ENSMUSG00000024800,872,1088,837,944,1222,1080,1110
ENSMUSG00000024803,126,301,308,206,91,386,414
ENSMUSG00000024805,989,696,459,672,630,526,570
ENSMUSG00000024806,0,0,0,0,0,0,0
ENSMUSG00000024807,2354,3566,2769,3260,2770,3436,3692
ENSMUSG00000024810,1040,1149,811,973,588,219,241
ENSMUSG00000024811,4330,8935,8454,9412,7044,7790,8179
ENSMUSG00000024812,4471,5490,5999,5069,5852,6415,6545
ENSMUSG00000024815,0,0,0,0,0,0,0
ENSMUSG00000024816,3489,4516,3573,3564,3385,4573,4781
ENSMUSG00000024817,4708,2660,4374,3255,3785,3822,4041
ENSMUSG00000024818,979,1648,1584,1171,1310,1446,1451
ENSMUSG00000024824,1317,1826,1470,1155,1573,1732,1799
ENSMUSG00000024826,4697,6173,5167,5055,3822,5002,5079
ENSMUSG00000024827,276,42,79,151,106,42,47
ENSMUSG00000024829,592,573,583,508,659,609,656
ENSMUSG00000024830,2001,3059,2705,1016,1290,2413,2460
ENSMUSG00000024831,721,269,875,347,679,727,714
ENSMUSG00000024833,4176,5800,5150,3484,4407,6601,6647
ENSMUSG00000024835,11267,14253,11196,8697,10195,11779,12261
ENSMUSG00000024837,0,0,0,0,0,0,0
ENSMUSG00000024841,1938,3560,2234,1978,2319,2819,2954
ENSMUSG00000024842,0,0,0,0,3,6,9
ENSMUSG00000024843,2165,3801,2134,1581,1895,2718,2805
ENSMUSG00000024844,3569,2917,2422,3041,3022,3574,3772
ENSMUSG00000024845,3309,3416,3269,1420,3253,3873,3986
ENSMUSG00000024846,34,51,14,45,47,76,82
ENSMUSG00000024847,2939,3741,3056,2586,3301,3657,3815
ENSMUSG00000024851,3040,3271,3492,1006,2775,2736,2676
ENSMUSG00000024853,11846,15481,12265,11966,11712,16228,16762
ENSMUSG00000024854,649,505,419,308,572,610,663
ENSMUSG00000024855,3292,4524,5059,5532,5278,6143,6208
ENSMUSG00000024856,4055,3383,2993,2884,2898,2677,2859
ENSMUSG00000024857,0,0,0,0,0,0,0
ENSMUSG00000024858,7365,5729,4789,5405,5074,5503,5741
ENSMUSG00000024862,80,375,147,121,66,302,326
ENSMUSG00000024863,0,0,0,0,0,0,0
ENSMUSG00000024866,587,633,760,396,582,693,771
ENSMUSG00000024867,33,13,133,282,35,135,118
ENSMUSG00000024868,0,0,0,0,1,0,0
ENSMUSG00000024869,284,396,202,16,196,166,195
ENSMUSG00000024870,13983,15535,13367,9767,15220,15840,16222
ENSMUSG00000024871,99,84,100,56,102,43,44
ENSMUSG00000024873,43,65,17,40,0,54,51
ENSMUSG00000024875,2083,1975,1328,1580,2122,1636,1727
ENSMUSG00000024878,531,816,383,937,496,409,455
ENSMUSG00000024883,1715,1064,1084,1673,855,1060,1101
ENSMUSG00000024885,267,818,566,295,545,632,739
ENSMUSG00000024887,113,418,148,180,174,358,377
ENSMUSG00000024889,1832,1803,2035,1863,2460,1836,1814
ENSMUSG00000024891,0,0,103,94,182,98,112
ENSMUSG00000024892,307,536,683,146,458,416,433
ENSMUSG00000024896,2090,2559,2463,3728,1942,1403,1489
ENSMUSG00000024897,745,958,1204,955,920,497,451
ENSMUSG00000024899,5169,9362,7163,6187,5063,5914,6111
ENSMUSG00000024900,5813,4826,6746,8071,5499,6426,6468
ENSMUSG00000024901,48,0,82,0,0,44,68
ENSMUSG00000024902,936,915,1012,813,792,1341,1420
ENSMUSG00000024903,0,56,0,131,0,0,0
ENSMUSG00000024905,0,4,8,53,0,41,31
ENSMUSG00000024906,1418,1444,933,304,1083,1357,1473
ENSMUSG00000024907,0,0,0,5,0,0,0
ENSMUSG00000024908,3698,5459,5408,4909,5201,5438,5547
ENSMUSG00000024909,2225,2050,1981,1091,1092,1883,1979
ENSMUSG00000024910,35,16,4,55,0,0,0
ENSMUSG00000024911,2999,2896,3017,1441,2232,3555,3620
ENSMUSG00000024912,400,990,516,517,708,616,633
ENSMUSG00000024913,777,1113,920,856,843,846,845
ENSMUSG00000024914,3212,2719,2800,1833,2337,3731,3868
ENSMUSG00000024921,3397,5246,5445,5146,4739,5973,6183
ENSMUSG00000024922,1,3,28,0,0,40,28
ENSMUSG00000024924,36,86,1,1,0,0,2
ENSMUSG00000024925,716,659,708,470,670,821,744
ENSMUSG00000024926,1545,1424,1545,1190,1287,1792,1782
ENSMUSG00000024927,11531,15049,11231,11525,12592,12735,13007
ENSMUSG00000024935,2436,2116,1737,1326,784,1349,1390
ENSMUSG00000024936,1,0,55,0,0,31,18
ENSMUSG00000024937,4812,4848,4562,3830,3396,6954,7063
ENSMUSG00000024939,2,3,1,0,3,2,2
ENSMUSG00000024940,1165,1158,1238,1090,1751,1306,1323
ENSMUSG00000024941,6095,8551,6935,7030,6498,6383,6471
ENSMUSG00000024942,941,1463,1618,1387,1196,1421,1480
ENSMUSG00000024943,1005,1907,1714,2423,2464,2198,2296
ENSMUSG00000024944,1009,1287,1234,496,1051,1086,1109
ENSMUSG00000024947,4202,3885,3120,4542,3583,4138,4217
ENSMUSG00000024948,9011,11125,14019,6684,9782,14492,14732
ENSMUSG00000024949,8391,10680,8993,8808,8803,11127,11244
ENSMUSG00000024952,4283,5950,5117,3936,4224,4374,4582
ENSMUSG00000024953,1478,1975,2063,1002,1908,2625,2689
ENSMUSG00000024955,1150,1296,1674,1012,1226,1605,1552
ENSMUSG00000024957,0,0,0,0,0,0,0
ENSMUSG00000024958,692,978,672,566,721,719,768
ENSMUSG00000024959,1512,1770,1654,1397,1760,1736,1795
ENSMUSG00000024960,3882,5899,5279,4648,4830,5811,5984
ENSMUSG00000024962,325,505,503,478,352,616,594
ENSMUSG00000024963,477,937,647,328,606,660,724
ENSMUSG00000024965,155,383,527,157,63,217,190
ENSMUSG00000024966,5354,3614,2799,20858,3657,2656,2700
ENSMUSG00000024968,276,253,244,101,333,199,227
ENSMUSG00000024969,4518,3952,4213,3823,4507,6265,6430
ENSMUSG00000024970,2431,2351,2266,1027,2036,2597,2645
ENSMUSG00000024972,0,0,0,0,34,4,4
ENSMUSG00000024973,0,0,0,0,0,0,0
ENSMUSG00000024974,2457,4392,4151,4764,3370,3292,3481
ENSMUSG00000024975,680,1120,1063,441,347,1087,1077
ENSMUSG00000024976,2503,4764,4339,4040,5140,4997,5188
ENSMUSG00000024978,95,861,702,712,370,290,322
ENSMUSG00000024979,0,0,0,0,0,0,0
ENSMUSG00000024981,7451,9759,8000,8182,8714,9497,9701
ENSMUSG00000024982,2011,3171,2205,2183,1995,2728,2815
ENSMUSG00000024983,1248,2025,2000,1533,1770,1996,1976
ENSMUSG00000024985,2107,2179,2443,1543,2073,2593,2646
ENSMUSG00000024986,2594,4456,4261,2012,3031,3329,3515
ENSMUSG00000024987,0,6,0,55,0,4,1
ENSMUSG00000024989,203,322,0,206,329,297,289
ENSMUSG00000024990,0,0,0,0,0,0,0
ENSMUSG00000024991,5698,6811,6520,6849,6722,7581,7739
ENSMUSG00000024992,8,0,0,0,0,0,0
ENSMUSG00000024993,2396,4083,2908,2759,2165,3011,3056
ENSMUSG00000024997,1701,1717,1420,1610,1608,1716,1710
ENSMUSG00000024998,602,857,427,755,1207,1849,1963
ENSMUSG00000024999,423,823,567,500,442,516,548
ENSMUSG00000025001,167,0,144,119,583,85,72
ENSMUSG00000025002,54,0,0,0,0,0,0
ENSMUSG00000025003,0,0,0,0,0,0,0
ENSMUSG00000025004,0,0,0,0,0,0,0
ENSMUSG00000025006,10149,12440,11877,10236,10853,15564,15503
ENSMUSG00000025007,396,1127,800,1384,1543,1779,1805
ENSMUSG00000025008,945,750,555,969,703,1077,1109
ENSMUSG00000025010,9,151,246,355,172,271,284
ENSMUSG00000025013,0,0,0,0,0,0,0
ENSMUSG00000025014,0,0,0,0,0,0,0
ENSMUSG00000025016,9168,16232,15464,17840,14748,18047,18604
ENSMUSG00000025017,0,104,33,0,0,145,145
ENSMUSG00000025019,493,392,676,268,277,454,475
ENSMUSG00000025020,0,0,0,0,0,0,0
ENSMUSG00000025024,2453,2312,2548,1784,1487,2621,2742
ENSMUSG00000025025,5735,5142,4906,4531,3867,4275,4395
ENSMUSG00000025026,6720,9849,8881,7742,9510,8929,8870
ENSMUSG00000025027,3501,4352,3643,3909,4339,4342,4445
ENSMUSG00000025034,5078,5077,5631,5339,5901,6603,6762
ENSMUSG00000025035,810,734,598,409,841,862,871
ENSMUSG00000025036,227,211,227,306,261,446,482
ENSMUSG00000025037,1142,1531,1546,1242,1544,2022,2121
ENSMUSG00000025038,0,42,0,0,0,0,0
ENSMUSG00000025040,2487,2375,2143,1657,1752,2108,2205
ENSMUSG00000025041,1229,1898,1864,1458,1946,1679,1771
ENSMUSG00000025043,0,0,0,0,0,0,0
ENSMUSG00000025044,66,302,150,0,0,36,32
ENSMUSG00000025047,1194,1567,855,869,557,925,951
ENSMUSG00000025049,479,1637,660,1144,1172,1189,1182
ENSMUSG00000025050,304,184,448,272,209,461,483
ENSMUSG00000025051,0,0,0,0,0,0,0
ENSMUSG00000025056,0,0,0,0,0,0,0
ENSMUSG00000025058,0,0,0,0,0,0,0
ENSMUSG00000025059,20,373,441,189,206,421,440
ENSMUSG00000025060,5211,7174,6607,4662,8253,6591,6516
ENSMUSG00000025064,0,0,0,0,83,29,29
ENSMUSG00000025066,5878,7059,6692,6314,6850,5683,5936
ENSMUSG00000025068,319,284,300,264,355,414,437
ENSMUSG00000025069,24,57,24,48,8,17,6
ENSMUSG00000025075,1,0,1,2,0,0,0
ENSMUSG00000025076,2020,3008,1427,2562,1704,2552,2555
ENSMUSG00000025077,690,643,826,410,574,506,508
ENSMUSG00000025078,649,1330,812,1008,829,942,1061
ENSMUSG00000025081,0,0,0,0,0,0,0
ENSMUSG00000025082,0,0,17,0,4,0,0
ENSMUSG00000025083,853,874,2005,705,1665,1334,1281
ENSMUSG00000025085,25550,34155,33884,26944,17137,24813,25151
ENSMUSG00000025086,400,440,704,444,93,453,447
ENSMUSG00000025089,1,0,0,0,0,0,0
ENSMUSG00000025090,0,0,0,0,0,0,0
ENSMUSG00000025091,0,0,0,0,0,0,0
ENSMUSG00000025092,37,364,429,780,107,822,858
ENSMUSG00000025094,824,1290,1182,447,437,601,609
ENSMUSG00000025102,196,414,292,389,279,424,417
ENSMUSG00000025103,2881,2947,3322,3105,2967,3235,3280
