"","OK1","OK1_2","OK3","OK4","YK1","YK3","YK4"
"ENSMUSG00000016921",6288,5964,5521,7556,5773,5996,6358
"ENSMUSG00000016933",9568,8892,5513,4628,8061,6361,7710
"ENSMUSG00000016940",2379,2251,3079,3580,1804,2414,3093
"ENSMUSG00000016942",0,0,0,1,0,0,0
"ENSMUSG00000016946",2937,2798,3204,2266,2052,2204,2520
"ENSMUSG00000016982",0,0,0,7,0,0,0
"ENSMUSG00000016984",659,621,610,708,435,559,441
"ENSMUSG00000016995",81,52,52,298,105,142,84
"ENSMUSG00000016998",0,0,0,0,0,0,0
"ENSMUSG00000017000",0,0,0,0,0,0,0
"ENSMUSG00000017002",3,1,8,0,10,0,0
"ENSMUSG00000017003",0,0,0,0,0,0,0
"ENSMUSG00000017004",0,0,0,0,0,0,0
"ENSMUSG00000017007",1,0,9,2,1,0,0
"ENSMUSG00000017009",5891,5542,5667,11444,7765,9730,10337
"ENSMUSG00000017049",0,0,0,0,0,0,0
"ENSMUSG00000017057",5372,5012,4698,5324,6920,6387,5999
"ENSMUSG00000017064",0,0,0,0,0,0,0
"ENSMUSG00000017119",11192,10381,9644,10847,11130,8415,10835
"ENSMUSG00000017132",7050,6497,6700,6226,6311,4918,6388
"ENSMUSG00000017144",3246,3055,5100,10654,5694,8148,8497
"ENSMUSG00000017146",4,7,0,0,0,1,0
"ENSMUSG00000017165",0,0,0,0,0,0,0
"ENSMUSG00000017167",22,17,2,36,5,76,57
"ENSMUSG00000017176",1143,1092,1665,1539,1610,1736,1995
"ENSMUSG00000017188",1610,1593,1730,2134,2629,2420,2285
"ENSMUSG00000017195",0,0,0,24,0,0,29
"ENSMUSG00000017204",11,4,1,0,0,0,0
"ENSMUSG00000017210",2076,1798,1914,1991,1830,2336,2221
"ENSMUSG00000017211",0,0,0,0,0,0,0
"ENSMUSG00000017221",8519,7860,8409,8965,8588,8919,8199
"ENSMUSG00000017264",5705,5165,3610,5178,4364,4111,4103
"ENSMUSG00000017286",2527,2355,3544,3674,3820,3627,3094
"ENSMUSG00000017288",2542,2476,3114,3497,2770,2622,2719
"ENSMUSG00000017291",2580,2485,1329,1969,2076,1606,1884
"ENSMUSG00000017299",1129,997,1105,1065,1029,1110,1230
"ENSMUSG00000017300",0,0,0,0,0,0,0
"ENSMUSG00000017307",511,454,576,783,520,530,604
"ENSMUSG00000017309",45126,42098,51630,39017,24311,29682,34756
"ENSMUSG00000017310",0,0,0,0,0,0,0
"ENSMUSG00000017311",0,0,0,0,0,0,0
"ENSMUSG00000017314",591,546,347,728,225,784,471
"ENSMUSG00000017316",0,0,0,4,0,14,12
"ENSMUSG00000017344",11,23,8,121,0,253,0
"ENSMUSG00000017376",411,370,258,550,590,886,726
"ENSMUSG00000017386",1102,981,1093,1541,1906,1623,1764
"ENSMUSG00000017390",460,431,699,1195,1044,1221,1244
"ENSMUSG00000017400",69,87,53,86,0,0,4
"ENSMUSG00000017404",184,191,179,273,200,163,294
"ENSMUSG00000017405",437,394,752,1386,305,809,1271
"ENSMUSG00000017412",254,230,375,517,225,485,792
"ENSMUSG00000017417",164,145,254,72,164,1,330
"ENSMUSG00000017418",673,570,1337,704,1348,1231,1742
"ENSMUSG00000017421",7763,7452,7544,8955,8535,6351,8391
"ENSMUSG00000017428",1856,1823,1373,1804,2034,1658,1962
"ENSMUSG00000017446",492,423,371,357,557,471,237
"ENSMUSG00000017453",425,418,124,740,155,257,114
"ENSMUSG00000017466",10684,9933,15053,16376,11363,12545,9696
"ENSMUSG00000017478",2371,2124,1715,1415,1578,1473,1867
"ENSMUSG00000017485",5316,4980,5196,4690,3325,4078,7058
"ENSMUSG00000017491",2909,2707,4318,4370,1679,3167,3451
"ENSMUSG00000017493",8133,7905,9212,9518,5959,5602,6369
"ENSMUSG00000017499",0,0,1,0,0,30,1
"ENSMUSG00000017548",2030,1812,2422,2234,2967,2409,2456
"ENSMUSG00000017550",236,220,38,80,0,34,101
"ENSMUSG00000017561",1724,1579,1975,1971,1900,1779,2067
"ENSMUSG00000017588",0,0,0,0,0,0,0
"ENSMUSG00000017607",0,0,0,0,0,0,0
"ENSMUSG00000017615",18757,17336,16694,14319,14691,14865,13387
"ENSMUSG00000017631",11365,10332,7730,8621,9438,9128,7042
"ENSMUSG00000017639",524,516,443,1154,1174,1042,1405
"ENSMUSG00000017652",1673,1597,1800,1868,1622,1756,1354
"ENSMUSG00000017664",1770,1614,1856,2119,1304,1912,1807
"ENSMUSG00000017667",636,631,372,667,939,456,525
"ENSMUSG00000017670",8173,7521,6185,7245,6872,6339,7882
"ENSMUSG00000017677",12139,11347,15922,27069,13592,18608,27126
"ENSMUSG00000017679",5363,4973,2880,3527,2480,1332,2193
"ENSMUSG00000017686",5456,5290,4660,4649,5726,4164,5537
"ENSMUSG00000017688",0,0,0,0,0,0,28
"ENSMUSG00000017692",287,237,369,209,98,306,637
"ENSMUSG00000017697",3949,3709,2831,2009,1641,1597,2263
"ENSMUSG00000017707",157860,148039,131682,135082,128551,100533,102658
"ENSMUSG00000017713",460,452,238,322,243,309,777
"ENSMUSG00000017715",3054,2817,2544,1987,2791,2210,2406
"ENSMUSG00000017716",51,53,40,8,37,0,28
"ENSMUSG00000017718",38,46,21,39,5,29,51
"ENSMUSG00000017720",0,0,0,41,0,0,22
"ENSMUSG00000017721",639,578,685,732,810,800,1022
"ENSMUSG00000017723",1961,1772,1927,4306,3546,3888,3623
"ENSMUSG00000017724",50,27,0,9,6,27,42
"ENSMUSG00000017733",0,0,0,0,0,0,0
"ENSMUSG00000017734",349,347,393,310,359,393,278
"ENSMUSG00000017737",0,0,0,0,0,35,0
"ENSMUSG00000017740",2893,2777,3456,2811,2419,2643,2541
"ENSMUSG00000017747",1343,1229,730,1266,975,1328,1150
"ENSMUSG00000017754",11830,11031,15787,15577,9979,12626,9826
"ENSMUSG00000017756",16349,14958,10709,10845,10297,9169,10366
"ENSMUSG00000017760",9288,8647,9655,11312,9084,8097,9941
"ENSMUSG00000017764",601,690,750,868,1003,601,718
"ENSMUSG00000017765",9216,8594,9203,8012,7275,7002,7727
"ENSMUSG00000017767",0,0,0,0,0,0,0
"ENSMUSG00000017774",61564,57123,50250,42331,46963,34136,43258
"ENSMUSG00000017776",17021,16268,13674,13127,17255,13147,14399
"ENSMUSG00000017778",124,112,183,139,208,128,403
"ENSMUSG00000017781",17355,16482,14911,14962,14124,11004,12825
"ENSMUSG00000017801",1763,1745,2046,1979,2627,1722,2567
"ENSMUSG00000017802",2529,2335,1845,2542,2270,2200,2798
"ENSMUSG00000017817",115,120,4,164,56,299,348
"ENSMUSG00000017830",1021,936,992,879,782,514,1244
"ENSMUSG00000017831",7166,6600,6050,8382,7025,7277,7119
"ENSMUSG00000017832",6,7,12,2,0,0,14
"ENSMUSG00000017837",2031,1950,2319,2708,1868,2082,2688
"ENSMUSG00000017843",8531,7956,7066,8194,6442,6481,7359
"ENSMUSG00000017858",1073,1053,1418,2668,1990,1508,1853
"ENSMUSG00000017861",70,56,30,36,43,37,12
"ENSMUSG00000017868",1591,1477,780,3122,2757,2331,2945
"ENSMUSG00000017897",55,48,61,110,160,145,35
"ENSMUSG00000017922",0,0,0,0,0,0,0
"ENSMUSG00000017929",838,892,397,745,785,703,508
"ENSMUSG00000017943",12,6,12,0,40,0,0
"ENSMUSG00000017950",370,387,2,513,192,54,124
"ENSMUSG00000017969",259,221,291,154,41,91,75
"ENSMUSG00000017978",1151,1138,548,1631,1267,705,942
"ENSMUSG00000017999",2268,2039,2226,2530,2379,1299,1744
"ENSMUSG00000018001",10497,9747,10471,8147,12253,10306,10727
"ENSMUSG00000018008",753,679,918,970,1273,789,909
"ENSMUSG00000018012",100,83,166,135,42,116,229
"ENSMUSG00000018040",1644,1506,1432,1277,1138,1078,1371
"ENSMUSG00000018042",16749,15609,19412,18026,17224,17156,13302
"ENSMUSG00000018068",647,612,617,1197,413,155,1230
"ENSMUSG00000018076",1850,1636,754,907,1103,1038,1154
"ENSMUSG00000018102",1167,1154,1108,1252,2896,1607,1238
"ENSMUSG00000018126",587,578,426,1442,1250,1511,1538
"ENSMUSG00000018143",6171,5808,7446,12510,7777,9711,9101
"ENSMUSG00000018160",1819,1744,1522,2152,1704,1651,1660
"ENSMUSG00000018166",1061,1092,678,1139,902,1224,816
"ENSMUSG00000018167",2472,2352,2033,1885,2211,1730,1834
"ENSMUSG00000018168",0,0,0,0,0,0,0
"ENSMUSG00000018169",6154,5868,6055,6852,4023,4336,5759
"ENSMUSG00000018171",4014,3822,2955,5810,3696,4602,5440
"ENSMUSG00000018189",1151,1104,1113,1550,1594,1620,1431
"ENSMUSG00000018196",1670,1585,1581,1516,1891,1210,1745
"ENSMUSG00000018199",3683,3547,3316,3020,3598,2786,3228
"ENSMUSG00000018209",2296,2167,2253,1960,2521,1230,1702
"ENSMUSG00000018211",2334,2198,2668,5710,6804,7474,7248
"ENSMUSG00000018217",17369,16283,11195,12006,10073,8757,9233
"ENSMUSG00000018238",70,64,56,121,29,0,79
"ENSMUSG00000018239",767,748,728,812,802,761,751
"ENSMUSG00000018259",0,0,0,0,0,0,0
"ENSMUSG00000018263",0,0,0,0,0,1,0
"ENSMUSG00000018286",4173,3829,4486,4926,4362,4821,4609
"ENSMUSG00000018287",2036,1991,2149,2717,2448,2445,2580
"ENSMUSG00000018293",13680,12532,12705,13776,11986,13477,13456
"ENSMUSG00000018322",3631,3330,3111,3122,2593,2693,3014
"ENSMUSG00000018326",23615,22306,22874,21244,22961,20455,18258
"ENSMUSG00000018334",388,368,354,249,200,121,130
"ENSMUSG00000018339",65018,60455,9820,65784,17818,9105,11404
"ENSMUSG00000018340",10026,9408,9340,9774,9946,9820,10458
"ENSMUSG00000018341",1,0,67,5,0,63,0
"ENSMUSG00000018347",878,887,707,804,492,761,764
"ENSMUSG00000018362",136,104,159,280,180,197,216
"ENSMUSG00000018363",3931,3696,3578,3761,3165,2373,3624
"ENSMUSG00000018372",297,251,477,461,338,495,750
"ENSMUSG00000018377",6077,5729,6474,6870,4364,4004,6190
"ENSMUSG00000018378",2260,2058,2213,2275,1430,1597,2987
"ENSMUSG00000018379",8068,7613,6454,7490,7776,5436,10434
"ENSMUSG00000018381",969,966,731,675,691,746,798
"ENSMUSG00000018387",292,261,154,46,19,161,89
"ENSMUSG00000018395",1256,1152,1348,1596,2078,1252,1745
"ENSMUSG00000018398",1617,1490,1560,2398,1172,1670,1755
"ENSMUSG00000018401",2073,1980,2105,2483,3324,2729,1605
"ENSMUSG00000018405",806,770,831,645,590,855,1052
"ENSMUSG00000018411",1417,1238,1094,1483,682,778,1290
"ENSMUSG00000018412",4287,3960,4666,4409,4414,3800,3683
"ENSMUSG00000018415",2333,2268,1934,2874,2254,2694,1873
"ENSMUSG00000018417",3042,2909,1631,1984,2430,1317,3007
"ENSMUSG00000018425",2332,2244,1981,1709,1689,2014,1524
"ENSMUSG00000018427",458,459,510,533,717,411,552
"ENSMUSG00000018428",2956,2776,2466,2780,2688,2683,4244
"ENSMUSG00000018433",1974,1766,1322,1915,2334,1563,2144
"ENSMUSG00000018442",2452,2307,2350,3419,3303,2484,3061
"ENSMUSG00000018446",1896,1726,2142,2605,2063,2421,2703
"ENSMUSG00000018449",1438,1309,1267,1388,1031,894,1257
"ENSMUSG00000018451",0,0,16,75,12,55,0
"ENSMUSG00000018459",397,334,46,526,45,14,27
"ENSMUSG00000018470",41,52,28,42,0,63,0
"ENSMUSG00000018474",853,811,962,1074,848,1309,685
"ENSMUSG00000018476",523,486,582,972,294,580,1578
"ENSMUSG00000018479",0,0,0,0,0,0,0
"ENSMUSG00000018481",4045,3768,4002,3899,3892,3587,4039
"ENSMUSG00000018486",15,23,219,179,91,504,933
"ENSMUSG00000018500",89,74,163,211,81,254,327
"ENSMUSG00000018501",6183,5845,5166,5448,7266,4909,5617
"ENSMUSG00000018507",110,93,248,65,97,367,166
"ENSMUSG00000018509",122,99,80,130,87,128,72
"ENSMUSG00000018537",140,96,156,147,55,88,157
"ENSMUSG00000018541",1621,1501,1729,2382,1688,1884,2126
"ENSMUSG00000018543",0,1,17,30,0,21,87
"ENSMUSG00000018547",87,69,45,73,49,168,80
"ENSMUSG00000018548",2053,1895,2059,1989,1938,1630,1627
"ENSMUSG00000018554",149,139,159,366,389,254,796
"ENSMUSG00000018559",904,898,883,852,1008,790,655
"ENSMUSG00000018565",1557,1529,1766,1898,1878,2026,1840
"ENSMUSG00000018566",1760,1608,1451,3475,2702,2645,4430
"ENSMUSG00000018567",6516,6148,7256,8796,7532,7687,6564
"ENSMUSG00000018569",2937,2670,2495,4697,4006,4994,4680
"ENSMUSG00000018570",51,41,15,191,65,41,122
"ENSMUSG00000018572",2406,2214,2854,4252,2339,3123,2279
"ENSMUSG00000018574",4438,4235,4830,6395,6240,6177,7835
"ENSMUSG00000018581",100,95,27,202,210,124,99
"ENSMUSG00000018583",8688,7998,7196,7118,7110,7189,7593
"ENSMUSG00000018585",2552,2328,2621,2546,3328,2965,2407
"ENSMUSG00000018589",0,0,0,0,0,0,0
"ENSMUSG00000018593",65305,61249,72701,61006,91895,74878,58595
"ENSMUSG00000018595",0,0,0,14,0,0,0
"ENSMUSG00000018599",578,615,385,683,699,648,722
"ENSMUSG00000018604",4848,4489,4794,3397,6152,3926,4228
"ENSMUSG00000018620",0,0,0,0,61,0,0
"ENSMUSG00000018623",0,0,0,0,0,0,0
"ENSMUSG00000018634",0,0,0,0,0,0,0
"ENSMUSG00000018648",261,239,453,621,391,491,602
"ENSMUSG00000018651",258,215,412,461,216,579,690
"ENSMUSG00000018654",28,35,94,14,3,3,22
"ENSMUSG00000018656",0,0,0,0,0,0,0
"ENSMUSG00000018659",1145,1033,811,1093,1138,1216,1083
"ENSMUSG00000018661",3951,3787,2741,3435,3067,2738,2876
"ENSMUSG00000018666",1124,1041,1123,1838,1727,1349,1994
"ENSMUSG00000018669",1883,1635,2525,3417,1902,2782,3032
"ENSMUSG00000018672",1322,1252,1955,2122,1708,1972,1904
"ENSMUSG00000018677",6900,6531,6264,8816,10977,8880,9612
"ENSMUSG00000018678",2645,2466,2228,2396,1938,2121,1843
"ENSMUSG00000018697",1657,1549,1017,1726,1518,1312,922
"ENSMUSG00000018698",183,185,174,297,403,442,433
"ENSMUSG00000018707",6513,6045,4286,5162,5783,4405,4002
"ENSMUSG00000018727",151,127,96,235,303,121,170
"ENSMUSG00000018733",574,555,533,160,685,763,855
"ENSMUSG00000018736",11605,10759,9621,11161,9089,9722,9058
"ENSMUSG00000018740",508,494,839,1384,1140,1536,1258
"ENSMUSG00000018750",1490,1369,1436,1514,1332,1345,1346
"ENSMUSG00000018752",20,16,27,23,36,24,23
"ENSMUSG00000018761",1147,1048,1189,1413,1084,1330,1578
"ENSMUSG00000018765",4180,3803,4197,4011,5000,3926,5417
"ENSMUSG00000018770",7498,6931,7162,10854,12223,11717,11109
"ENSMUSG00000018774",163,151,252,309,18,154,323
"ENSMUSG00000018776",16,21,20,0,0,0,0
"ENSMUSG00000018796",4765,4473,4074,5298,4537,4950,7455
"ENSMUSG00000018800",360,384,366,676,913,387,703
"ENSMUSG00000018809",769,762,881,1003,537,504,843
"ENSMUSG00000018819",82,64,34,107,20,22,20
"ENSMUSG00000018820",3316,3134,3466,3409,2529,2442,3147
"ENSMUSG00000018821",635,633,1188,1291,968,1129,981
"ENSMUSG00000018822",0,0,0,29,0,0,0
"ENSMUSG00000018830",1445,1353,963,2159,4265,4184,5472
"ENSMUSG00000018841",614,600,720,862,664,647,900
"ENSMUSG00000018844",80,59,256,74,24,63,180
"ENSMUSG00000018845",4185,3717,3621,3017,2000,2855,3066
"ENSMUSG00000018846",1823,1689,2594,2063,3272,1771,1768
"ENSMUSG00000018848",1839,1819,2291,2666,2150,2084,2341
"ENSMUSG00000018849",4513,4070,4460,6953,8166,9254,7386
"ENSMUSG00000018858",1155,1115,1387,1322,1244,1351,1443
"ENSMUSG00000018861",378,352,540,540,380,569,617
"ENSMUSG00000018862",0,0,0,0,11,0,0
"ENSMUSG00000018865",0,0,32,50,70,0,0
"ENSMUSG00000018868",0,0,0,0,0,0,0
"ENSMUSG00000018882",1279,1190,1008,1041,2132,1224,1472
"ENSMUSG00000018893",3,0,7,1,0,0,0
"ENSMUSG00000018899",16289,15077,20956,33244,16823,25941,30599
"ENSMUSG00000018900",2681,2571,2578,3707,2721,2076,2787
"ENSMUSG00000018906",4577,4180,2365,3875,4862,2215,2068
"ENSMUSG00000018907",0,0,34,0,0,0,0
"ENSMUSG00000018909",3733,3539,2840,2393,4180,3264,2846
"ENSMUSG00000018914",0,0,0,0,0,0,0
"ENSMUSG00000018916",0,0,0,0,0,0,0
"ENSMUSG00000018919",0,0,1,0,0,0,0
"ENSMUSG00000018920",1959,1895,2294,2149,2815,1804,2149
"ENSMUSG00000018921",754,711,541,573,515,355,504
"ENSMUSG00000018923",316,282,407,368,430,473,347
"ENSMUSG00000018924",0,0,0,0,0,0,0
"ENSMUSG00000018925",0,0,0,0,0,0,0
"ENSMUSG00000018927",26,31,143,24,74,27,54
"ENSMUSG00000018930",53,50,111,27,41,78,70
"ENSMUSG00000018931",900,898,1428,1590,1228,1120,781
"ENSMUSG00000018932",8266,7909,5971,6969,5407,5921,6461
"ENSMUSG00000018965",8057,7782,6902,7334,9415,7157,6676
"ENSMUSG00000018973",0,0,0,0,0,0,0
"ENSMUSG00000018974",2956,2855,3024,2738,3038,2692,2164
"ENSMUSG00000018983",5,0,59,38,87,20,0
"ENSMUSG00000018986",899,828,536,540,903,411,767
"ENSMUSG00000018995",997,895,797,1255,915,980,1088
"ENSMUSG00000018999",2421,2307,2909,1697,3100,3109,3029
"ENSMUSG00000019027",0,0,35,26,103,11,91
"ENSMUSG00000019039",1420,1342,1403,2270,1720,1627,3196
"ENSMUSG00000019054",2776,2556,3251,3194,3224,3620,3322
"ENSMUSG00000019055",9535,8986,8730,5918,12908,6567,8362
"ENSMUSG00000019066",3751,3483,4197,3910,3004,3688,2380
"ENSMUSG00000019080",164,191,253,220,318,225,176
"ENSMUSG00000019082",1990,1790,1962,2007,1728,1499,2572
"ENSMUSG00000019087",18847,17718,18957,22606,18812,16987,18372
"ENSMUSG00000019088",1081,1030,1380,1644,887,1182,1335
"ENSMUSG00000019102",0,0,0,0,54,0,0
"ENSMUSG00000019122",56,47,107,0,0,10,0
"ENSMUSG00000019124",1021,976,1306,1713,1380,900,960
"ENSMUSG00000019132",2244,2086,1904,2873,1688,2052,3168
"ENSMUSG00000019139",3869,3581,4024,5276,4552,4418,5322
"ENSMUSG00000019143",1717,1594,1808,2562,1937,1775,2405
"ENSMUSG00000019146",0,0,0,0,0,0,0
"ENSMUSG00000019158",1088,1008,1298,1411,1320,1315,1106
"ENSMUSG00000019173",1472,1396,2297,3663,2355,2015,3467
"ENSMUSG00000019178",4,1,5,1,10,0,6
"ENSMUSG00000019179",12979,12450,13936,19334,19050,16703,18167
"ENSMUSG00000019188",5654,5377,5618,5738,5340,4839,5106
"ENSMUSG00000019189",9138,8752,9846,9972,7816,6764,7761
"ENSMUSG00000019194",4149,3907,4223,4066,2986,2451,2418
"ENSMUSG00000019210",8885,8514,8368,11837,11803,10200,10832
"ENSMUSG00000019214",125,103,115,339,418,162,156
"ENSMUSG00000019230",0,0,0,0,0,0,0
"ENSMUSG00000019232",34,38,0,0,0,0,0
"ENSMUSG00000019235",278,262,448,355,559,490,318
"ENSMUSG00000019254",5142,4972,5772,5664,6210,6870,6139
"ENSMUSG00000019256",7646,7120,6305,8386,4467,5029,6583
"ENSMUSG00000019261",4667,4361,3783,3225,4203,3108,3141
"ENSMUSG00000019278",98,106,28,144,154,0,0
"ENSMUSG00000019295",1721,1557,2046,2273,2708,1723,2249
"ENSMUSG00000019297",1965,1773,1140,1160,1834,1200,1570
"ENSMUSG00000019301",2,5,32,0,33,17,18
"ENSMUSG00000019302",4396,3882,4219,4689,3647,3676,3873
"ENSMUSG00000019303",50,37,138,162,157,70,64
"ENSMUSG00000019312",1089,1001,998,1484,1128,2115,2549
"ENSMUSG00000019320",82,77,144,49,0,77,100
"ENSMUSG00000019326",62,60,46,90,37,140,160
"ENSMUSG00000019338",1008,934,1470,1382,833,1345,1849
"ENSMUSG00000019359",0,0,0,0,0,0,0
"ENSMUSG00000019362",2211,2089,2350,2375,2531,2548,2508
"ENSMUSG00000019368",0,0,0,0,0,0,0
"ENSMUSG00000019370",4579,4253,4331,5561,4809,4975,5299
"ENSMUSG00000019373",1612,1541,1441,2144,1964,1605,2674
"ENSMUSG00000019428",7042,6526,7897,7705,6932,6708,7375
"ENSMUSG00000019429",0,0,0,0,0,0,0
"ENSMUSG00000019432",3913,3579,3074,3837,3831,3553,3948
"ENSMUSG00000019433",3740,3437,3442,4128,3017,4571,3940
"ENSMUSG00000019437",715,692,487,853,926,1168,1274
"ENSMUSG00000019461",3708,3397,4614,3893,2906,3653,3916
"ENSMUSG00000019464",2762,2585,1987,2878,1793,2876,3109
"ENSMUSG00000019467",543,528,748,681,334,309,916
"ENSMUSG00000019470",4485,4246,5047,4990,4230,4082,4843
"ENSMUSG00000019471",8264,7602,8758,9361,8885,8570,8921
"ENSMUSG00000019478",1193,1118,1292,1359,1433,1287,1016
"ENSMUSG00000019487",6406,5986,4832,6162,5787,5819,5758
"ENSMUSG00000019489",0,0,0,0,0,0,0
"ENSMUSG00000019494",4301,3835,3704,5057,4383,4673,4565
"ENSMUSG00000019505",27598,26023,36961,49941,33986,39888,41028
"ENSMUSG00000019518",222,225,140,149,206,150,481
"ENSMUSG00000019528",969,998,1325,1299,1310,868,1055
"ENSMUSG00000019539",2328,2148,2669,2826,1290,1870,1695
"ENSMUSG00000019558",609,614,282,425,407,510,653
"ENSMUSG00000019564",273,235,258,151,313,326,476
"ENSMUSG00000019577",3778,3503,3389,6016,2435,2711,2392
"ENSMUSG00000019578",2922,2705,3121,3140,3393,2563,3553
"ENSMUSG00000019579",1887,1778,1841,2373,1851,1791,2064
"ENSMUSG00000019590",2735,2496,2133,2028,3554,2527,1646
"ENSMUSG00000019647",7084,6561,4170,4412,3948,4281,4433
"ENSMUSG00000019659",1636,1389,1526,1485,1395,1610,1391
"ENSMUSG00000019689",346,292,463,582,860,784,735
"ENSMUSG00000019699",735,709,1030,713,815,350,1078
"ENSMUSG00000019710",921,875,910,902,1109,1079,1396
"ENSMUSG00000019715",4784,4428,4347,5850,4588,3373,4011
"ENSMUSG00000019718",252,236,103,115,181,166,352
"ENSMUSG00000019726",186,172,55,218,518,262,222
"ENSMUSG00000019731",4904,4609,4370,5654,5659,3479,4757
"ENSMUSG00000019732",52,47,16,0,105,59,117
"ENSMUSG00000019734",845,821,945,2043,2379,1925,2597
"ENSMUSG00000019737",154,159,57,181,73,92,188
"ENSMUSG00000019738",258,247,325,292,363,301,347
"ENSMUSG00000019756",0,0,0,0,0,0,0
"ENSMUSG00000019761",66,71,171,188,233,162,168
"ENSMUSG00000019762",260,233,170,336,222,103,78
"ENSMUSG00000019763",274,264,318,512,655,476,775
"ENSMUSG00000019767",0,0,0,0,0,0,66
"ENSMUSG00000019768",502,510,574,1036,263,138,185
"ENSMUSG00000019772",0,0,0,25,0,0,0
"ENSMUSG00000019773",440,396,517,449,430,315,370
"ENSMUSG00000019774",341,336,559,432,726,288,593
"ENSMUSG00000019775",0,0,0,0,0,0,50
"ENSMUSG00000019777",4505,4223,4288,5913,5000,3759,4444
"ENSMUSG00000019779",1333,1143,1282,1828,3309,2532,1533
"ENSMUSG00000019782",538,511,532,616,499,496,500
"ENSMUSG00000019785",0,0,0,0,0,0,37
"ENSMUSG00000019787",0,0,0,0,0,0,0
"ENSMUSG00000019789",84,96,415,443,988,681,237
"ENSMUSG00000019790",2489,2376,2850,3210,2198,1581,2311
"ENSMUSG00000019791",369,348,328,419,568,515,495
"ENSMUSG00000019792",1034,999,1200,837,1128,1138,1285
"ENSMUSG00000019794",1697,1542,1193,2230,1639,1549,1513
"ENSMUSG00000019795",4481,4162,3611,5525,4198,4470,5188
"ENSMUSG00000019796",374,363,272,835,487,505,275
"ENSMUSG00000019797",734,739,611,744,767,912,758
"ENSMUSG00000019802",5588,5198,4749,5960,4426,4471,5853
"ENSMUSG00000019803",0,0,0,0,0,0,0
"ENSMUSG00000019804",11442,10900,10043,12583,14313,11156,10346
"ENSMUSG00000019806",3308,3090,3037,4127,3107,3564,4007
"ENSMUSG00000019808",38,21,75,24,0,50,30
"ENSMUSG00000019809",1360,1243,1549,2002,1585,1512,1958
"ENSMUSG00000019810",3762,3546,3705,6489,4096,4469,5599
"ENSMUSG00000019813",172,174,240,194,223,348,395
"ENSMUSG00000019814",832,824,1004,1779,902,1090,1760
"ENSMUSG00000019815",0,0,0,0,0,0,0
"ENSMUSG00000019817",317,299,299,584,588,170,615
"ENSMUSG00000019818",14895,13885,15204,19060,17527,13514,15819
"ENSMUSG00000019820",5172,4971,3950,4593,6294,4660,4706
"ENSMUSG00000019822",1996,1911,1979,2474,2358,2593,3367
"ENSMUSG00000019823",1682,1529,1918,1672,731,1451,1387
"ENSMUSG00000019826",1407,1313,1422,1859,1632,919,1357
"ENSMUSG00000019828",0,0,0,0,0,0,0
"ENSMUSG00000019831",103,102,0,0,73,102,163
"ENSMUSG00000019832",217,198,325,219,510,469,329
"ENSMUSG00000019834",0,0,0,0,0,0,0
"ENSMUSG00000019836",1,0,0,0,0,0,0
"ENSMUSG00000019837",489,472,522,930,789,736,863
"ENSMUSG00000019838",27,24,84,316,76,281,92
"ENSMUSG00000019841",562,596,700,611,354,736,893
"ENSMUSG00000019842",831,768,806,723,380,395,707
"ENSMUSG00000019843",12224,11478,8682,10245,11523,7177,8436
"ENSMUSG00000019845",24,25,115,47,84,80,100
"ENSMUSG00000019846",6398,5925,5095,2291,4537,2705,2741
"ENSMUSG00000019848",0,0,24,0,0,0,0
"ENSMUSG00000019849",2966,2858,2078,1825,2339,2053,2174
"ENSMUSG00000019850",3656,3524,4441,5756,2727,3123,4826
"ENSMUSG00000019851",745,632,751,1148,951,1167,1158
"ENSMUSG00000019852",367,313,3,108,327,94,537
"ENSMUSG00000019853",150,137,193,381,409,277,224
"ENSMUSG00000019854",2072,1812,2107,2771,1990,2269,2255
"ENSMUSG00000019856",219,209,148,552,270,128,338
"ENSMUSG00000019857",1008,942,1081,1333,957,1160,1076
"ENSMUSG00000019861",3395,3165,3154,2625,3650,3322,4332
"ENSMUSG00000019863",720,701,902,757,580,645,1411
"ENSMUSG00000019864",881,841,1064,1828,1875,1826,1755
"ENSMUSG00000019865",0,0,0,0,0,0,0
"ENSMUSG00000019866",2296,2199,1697,2153,1211,1250,1200
"ENSMUSG00000019867",0,0,0,0,0,0,0
"ENSMUSG00000019868",1564,1531,1469,1418,1790,1456,1856
"ENSMUSG00000019872",11872,11160,13152,14327,13930,11554,11737
"ENSMUSG00000019873",6721,6335,5534,4981,4999,4443,4681
"ENSMUSG00000019874",14,5,11,7,12,0,0
"ENSMUSG00000019876",92,97,53,102,201,19,64
"ENSMUSG00000019877",17615,16540,17208,18435,19978,14578,16779
"ENSMUSG00000019878",25,21,58,39,120,14,39
"ENSMUSG00000019880",21,20,182,126,5,2,39
"ENSMUSG00000019883",173,180,255,287,488,306,390
"ENSMUSG00000019888",0,0,21,72,103,286,177
"ENSMUSG00000019889",2110,1990,1998,2955,3063,1932,2623
"ENSMUSG00000019890",68,58,99,54,8,66,53
"ENSMUSG00000019891",2856,2520,1275,1315,1471,1036,1248
"ENSMUSG00000019892",0,0,0,29,0,15,53
"ENSMUSG00000019893",12,7,0,0,0,0,0
"ENSMUSG00000019894",88,112,33,63,0,110,107
"ENSMUSG00000019897",2066,1974,2102,2238,1940,1818,2402
"ENSMUSG00000019899",0,1,36,113,0,4,0
